CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
339,0,0,185,0,1069,754,28,45.85
298,0,107,221,6,867,778,28,10.79
525,0,0,189,0,1125,613,90,42.13
157,236,0,192,12.6,935.7,781.2,91,63.4
380,0,0,228,0,932,670,7,55.9
190,0,125.4,162,0,1090,804,7,21.29
266,114,0,228,0,932,670,180,59.2
326.5,0,0,186,11,884.9,721,28,33.8
150,206.5,160.9,178.9,11.1,866.9,735.6,28,19.01
349,0,0,192,0,1056,809,28,28.68
252,0,0,185,0,1111,784,3,13.71
212,121,0,171.5,9.9,949.9,801.8,28,56.06
150,0,0,184,11,1074,772,28,15.87
393,0,0,192,0,940.6,785.6,90,40.76
531.3,0,0,141.8,28.2,852.1,893.7,56,61.07
173,116,0,192,0,946.8,856.8,90,40.15
350,0,0,203,0,974,775,180,43.58
296,0,0,192,0,1085,765,28,17.96
230,0,118.3,195.5,4.6,1029.4,758.6,100,38.33
525,0,0,189,0,1125,613,90,52.44
133,200,0,192,0,927.4,839.2,90,41.68
362.6,189,0,164.9,11.6,944.7,755.8,91,65.7
139.6,209.4,0,192,0,1047,806.9,28,23.51
157,236,0,192,0,935.4,781.2,28,39.27
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,9.85
436,151.2,0,228,0,941.6,674.3,28,53.9
200,200,0,190,0,1145,660,28,24.34
251.4,0,118.3,188.5,6.1,1028.4,757.7,14,22.14
349,0,0,192,0,1047,806,28,32.96
141.3,212,0,203.5,0,973.4,750,7,8.06
359.4,359.4,0,192,0,939.2,801.2,3,20.42
500,0,0,200,0,1125,613,7,47.81
397,0,0,192,0,940.6,717.8,3,22.9
183.9,162.4,0,203.5,5,959.2,800,28,29.87
281,0,0,186,0,1104,774,7,30.28
236,157,0,192,0,972.6,749.1,90,41.37
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,55.65
190,190,0,228,0,932,670,28,28.24
322.2,0,0,185.7,0,1012.4,714.3,28,18.02
385,0,0,186,0,966,763,3,33.4
272,111,111,196,3.9,868,872,56,40.86
387,20,94,157,14.3,938,845,56,46.8
298,0,107,221,12,951,714,28,44.09
349,0,0,192,0,1047,806,7,14.99
310,0,0,192,0,970,850,3,6.28
288,121,0,177,7,908,829,28,61.23
153,102,0,192,0,888,943.1,90,39.6
331,0,0,192,0,978,825,90,32.96
485,0,0,146,0,1120,800,28,66.95
307,0,0,193,0,968,812,180,28.1
145,0,146,174,5,869,769,28,52.42
349,0,0,192,0,1047,806,180,33.76
307,0,0,193,0,968,812,180,39.3
397,0,0,186,0,1040,739,14,18.13
280,129,0,172,9,825,805,28,51.43
425,106.3,0,153.5,16.5,852.1,887.1,7,43.7
362.6,189,0,164.9,11.6,944.7,755.8,91,79.99
166.8,250,0,203.5,0,975.6,692.6,90,32.33
166.8,0,125.2,163.8,12.2,1049.3,692.6,28,33.69
275.1,0,78.3,183.8,7.5,1058.6,780.1,28,36.96
288,192,0,192,0,972.6,716.1,28,37.91
302,0,0,146,0,1069,801,28,29.16
165,0,143.6,163.8,0,1005.6,900.9,28,28.1
237.5,237.5,0,228,0,932,594,180,44.52
304,76,0,228,0,932,670,270,21.5
231.8,0,121.6,174,6.7,1056.4,778.4,28,41.54
218.9,0,174.7,154.8,10.2,1052.3,776.4,56,36.64
238,0,0,200,0,1119,789,28,21.06
249.1,0,98.8,158.1,12.8,987.8,889,56,71.3
154.8,183.4,0,193.3,9.1,877.2,867.7,28,17.96
376,0,0,214.6,0,1003.5,762.4,14,26.92
540,0,0,173,0,1125,613,365,22.75
322,0,136,182,14.3,867,825,28,37.8
322,0,0,192,0,1012,830,7,17.44
213.5,98.1,24.5,171.1,6.7,1066,785.5,14,26.74
374,189.2,0,185.7,15.9,1043.6,734.3,28,43.58
375,0,0,186,0,1038,758,28,44.42
379.5,151.2,0,153.9,15.9,1134.3,605,28,39.42
387,20,94,157,13.9,938,845,56,52.44
339.2,0,0,185.7,0,971.8,748.5,7,25.62
540,0,0,173,0,1125,633,28,40.87
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,56.14
198.6,0,0,198.6,0,968,863,28,23.52
500,0,0,200,0,1125,613,28,36.94
108.3,162.4,0,203.5,0,938.2,849,7,39.7
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.57
254.8,128,0,192,0,963.4,863.4,90,46.64
349,0,0,192,0,1047,806.9,90,35.87
139.6,209.4,0,185.7,0,1047.4,739.3,28,29.87
302,0,0,203,0,974,817,180,41.54
387,20,94,157,13.9,938,845,365,49.25
397,0,0,185.7,0,1040.6,734.3,28,46.68
236,0,0,192,0,978,825,120,29.79
266,114,0,228,0,932,670,7,9.74
238,0,0,185,0,1119,789,28,37.4
164.2,0,143,163,0,1005.6,900.9,3,25.02
250.2,0,0,203.5,0,966,800,7,30.45
164.2,0,200.1,181.2,12.6,849.3,846,28,30.96
475,0,0,228,0,932,594,90,47.81
277.1,97.8,24.5,160.7,11.2,1061.7,782.5,14,28.02
331,170,128,195,7,825,802,28,63.53
475,0,0,228,0,932,594,28,25.57
475,0,0,228,0,932,594,270,73.7
233.8,0,94.6,197.9,4.6,947,852.2,14,28.99
231.8,0,121.6,174,6.7,1056.4,778.5,100,37.91
230,0,118.3,146.1,12.8,1029.4,828.7,28,17.54
277,0,0,191,0,968,856,28,25.02
425,106.3,0,151.4,18.6,936,803.7,56,72.3
362.6,0,0,164.9,11.6,944.7,755.8,28,71.99
331,0,0,192,0,1025,821,28,51.04
446,24,79,162,11.6,967,712,56,79.99
297.2,0,117.5,174.8,9.5,1022.8,753.5,7,24.5
469,117.2,0,137.8,32.2,852.1,840.5,28,56.74
173,116,0,192,0,927.4,856.8,7,26.05
166,0,0,183,13,859,827,28,15.75
336,0,0,182,3,992,816,28,41.67
135.7,0,175.2,178.5,8,1076.2,798.9,28,53.52
203.5,305.3,0,203.5,0,963.4,630,28,38.46
425,116,0,153.5,16.5,852.1,887.1,7,55.65
485,0,0,146,0,1120,800,28,44.3
153,102,0,192,0,888,943.1,90,33.02
349,0,0,192,0,1047,806,90,58.61
212,0,124.8,159,7.8,1085.4,799.5,14,17.44
382.5,203.5,0,185.7,0,1040.6,734.3,28,32.72
349,0,0,192,0,1047,806,180,65.2
381,0,0,186,0,1111,783,7,15.36
277.1,0,0,191.8,5.5,948.9,856.8,28,29.73
236,157,0,192,0,889.8,887.1,90,16.89
382.5,0,0,185.7,0,1047.8,739.3,28,29.23
139.6,209.4,0,192,0,1047,806.9,28,25.2
349,0,0,192,0,1056,809,90,31.35
102,153,0,192,0,887,942,365,56.14
212.6,0,100.4,159.4,8.7,1003.8,903.8,28,50.73
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,43.39
475,118.8,0,181.1,8.5,852.1,781.5,28,42.55
362.6,189,0,164.9,11.6,944.7,755.8,91,57.23
167,75.4,167,164,7.9,1007.3,770.1,100,63.53
141.3,212,0,203.5,0,971.8,748.5,28,22.44
331,170,0,195,3,811,802,28,61.89
333,0,0,192,0,931.2,842.6,90,43.58
297,0,0,185,0,1040,734,28,24.85
164,0,200,181,13,849,846,28,43.06
475,0,0,228,0,932,594,365,53.52
380,0,0,228,0,932,670,180,54.38
359,19,141,154,11.6,936,801,180,37.43
405,0,0,189,0,968,613,7,16.5
382.5,0,0,185.7,0,1047.8,739.3,28,38.22
289,0,0,192,0,929.8,839.2,90,40.76
439,177,0,186,11.1,884.9,707.9,56,36.56
133,200,0,192,0,927.4,839.2,28,22.35
236,0,0,192,0,968,781.2,7,7.68
236,0,0,194,0,968,885,3,24.4
397,0,0,185.7,0,1040.6,734.3,28,30.14
339,0,0,197,0,968,781,90,31.02
382,0,0,186,0,1111,784,7,13.09
374,189.2,0,192,0,926.1,756.7,14,44.21
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,32.4
500,0,0,200,0,1125,613,90,28.63
153.1,239.7,0,200,6.3,1001.9,674.8,28,30.12
200,133,0,192,0,965.4,806.2,28,30.85
252,0,0,185,0,1111,784,28,54.77
275.1,0,163.3,160.6,7.8,1058.6,780.1,3,13.12
385,20,94,157,20,938,845,28,62.94
310,0,0,192,0,1012,830,360,47.71
540,0,0,220,0,1125,688.7,90,38.46
350,0,0,186,0,1050,770,7,26.06
362.6,0,0,164.9,11.6,944.7,755.8,3,25.02
200,133.7,0,192,0,965.4,806.2,90,37.17
376,0,0,214.6,0,1003.5,762.4,14,25.51
382.5,0,0,185.7,0,1047.8,739.3,7,21.06
333,0,0,192,0,931.2,842.6,28,64.3
166,42.1,163.8,121.8,11.7,1058.6,780.1,3,35.96
350,0,0,203,0,974,775,90,45.9
376,0,0,214.6,0,1003.5,762.4,28,55.02
310,0,0,192,0,1012,830,90,32.24
165,0,132.1,175.1,8.1,1005.8,746.6,3,4.78
304,76,0,228,0,932,670,180,22.32
153,239,0,200,7,1002,684,28,67.87
475,0,0,228,0,1125,613,7,55.25
266,114,0,228,0,932,670,28,41.64
425,106.3,0,151.4,18.6,936,803.7,91,59.09
116,173,0,192,0,949.9,891.9,7,26.85
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,39
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,39.15
252,0,0,185,0,1111,784,28,36.45
331,0,0,192,0,978,825,7,17.95
307,0,0,193,0,968,812,90,40.23
387,0,94,187,13.9,938,827,28,33.49
167,0,167,164,7.9,1007.3,770.1,100,40.86
333,0,0,192,0,931.2,842.6,3,8.06
290.4,0,96.2,168.1,9.4,961.2,865,56,42.64
254,0,0,198,0,968,863,180,33.01
387,20,94,157,13.9,938,845,7,50.53
116,212.5,0,203.5,0,909.8,891.9,14,24.43
349,0,0,192,0,1047,806,28,26.2
525,0,0,189,0,1125,613,14,45.84
349,0,0,192,0,1047,806,28,28.47
237.5,237.5,0,228,0,932,670,90,42.22
393,0,0,192,0,940,758,7,23.74
252.5,0,0,185.7,0,1111.6,784.3,28,17.6
212,0,100,159,7.8,959.2,705.2,28,27.68
284,15,141,179,3,842,801,28,18.03
233.8,0,94.6,197.9,4.6,947,852.2,3,8.37
231.8,0,121.6,174,6.7,1056.4,778.5,100,37.72
342,38,0,228,0,932,670,270,42.22
277,0,0,191,0,968,856,28,31.64
139.6,209.4,0,192,0,1047,806.9,180,25.2
192,288,0,192,0,929.8,716.1,28,33.27
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.08
252,0,0,184,0,1111,784,28,32.01
281,0,0,185,0,1104,774,28,17.57
342,38,0,228,0,932,670,180,51.73
183.9,122.6,0,203.5,0,959.2,800,90,39.23
166.8,0,163.8,186.4,4.6,955.1,770.1,28,33.66
350,0,0,203,0,974,775,180,41.37
277,0,0,191,0,968,856,90,37.91
150,0,0,182,3,1022,753,28,33.27
295,0,0,185,0,1069,769,7,19.42
212,0,124.8,159,7.8,1085.4,799.5,7,30.65
183.9,122.6,0,203.5,0,959.2,800,3,35.3
350,0,0,203,0,974,775,3,14.7
480,0,0,192,0,936.2,712.2,7,25.2
304,0,0,196,0,959,705,14,30.44
500,0,0,192,0,1125,813,7,12.79
252.3,0,0,185.7,0,1111.6,784.3,28,22.93
139.6,209.4,0,192,0,1047,806.9,3,6.88
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,43.06
238,0,0,186,0,1119,789,28,35.1
288,142.5,0,228,0,932,594,28,32.88
540,0,0,173,0,1125,613,7,12.05
194.7,0,100.5,170.2,7.5,998,901.8,3,13.4
491,26,123,210,3.9,882,699,28,66
254,0,0,198,0,968,863,365,24.85
381.4,0,0,185.7,0,1104.6,784.3,28,22.5
255,0,0,192,0,889.8,945,28,22.93
116,173,0,192,0,909.8,891.9,28,25.73
277.1,0,97.4,160.6,11.8,973.9,875.6,3,25.56
165,0,143.6,163.8,0,1005.6,900.9,100,37.42
127,0,0,192,0,978,825,3,25.51
397,0,0,185.7,0,1040.6,734.3,28,36.45
393,0,0,192,0,940,758,28,59.76
250,0,95.7,187.4,5.5,956.9,861.2,100,55.02
425,166.6,0,153.5,16.5,852.1,887.1,28,56.4
133,200,0,192,0,965.4,805.2,90,24.45
139.6,209.4,0,192,0,1047,806.9,90,40.29
393,0,0,192,0,940.6,785.6,90,41.15
236,0,0,193,0,968,885,28,35.08
359,19,141,206,1.7,1012,801,56,51.02
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,29.45
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,53.1
198.6,132.4,0,192,0,978.4,895.3,28,24.5
230,0,118.3,195.7,4.6,1029.4,758.6,100,46.23
331,0,0,192,0,978,825,90,37.68
322.5,148.6,0,185.8,8.5,951,709.5,28,28.99
381.4,0,0,185.7,0,1104.6,784.3,28,34.74
135.7,203.5,0,185.7,0,1076.2,759.3,28,23.74
252,0,0,185,0,1111,784,28,25.51
288,192,0,192,0,929.8,716.1,7,20.08
255,192,0,192,0,931.2,842.6,3,11.17
350,0,0,203,0,974,775,7,12.55
200,0,0,180,0,1125,845,365,52.04
250,0,0,182,0,1100,820,7,9.99
350,0,0,203,0,1074,775,28,42.22
135.7,203.5,0,185.7,0,1076.2,759.3,28,26.92
203.5,305.3,0,183.9,0,963.4,630,7,19.01
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,13.46
182,45.2,124.3,158.5,10.8,1080.8,796.2,100,50.08
250,0,0,187.4,0,987.8,849,3,18.03
318.8,212.5,0,155.7,14.3,852.1,880.4,7,9.62
198.6,132.4,0,192,0,978.4,825.5,28,28.24
255.5,170.3,0,185.7,0,1026.6,724.3,28,37.33
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,11.41
302,0,0,203,0,974,817,180,32.05
252.3,0,98.8,146.3,12.4,987.8,889,3,10.35
288,132.4,0,192,0,965.4,765.4,3,24.45
540,0,0,165,0,1125,613,90,35.31
236,157,0,186,11,870,774,28,33.36
200,0,0,192,0,965.4,806.2,3,13.2
145,0,113,178,8,953,822,28,34.24
236,157,0,192,0,972.6,749.1,90,44.21
531.3,0,0,141.8,28.2,852.1,893.7,7,55.6
500,0,0,200,0,1125,613,7,14.94
173,116,0,192,0,946.8,856.8,90,40.23
350,0,0,203,0,974,775,56,55.55
212,0,124.8,159,7.8,1085.4,799.5,100,40.06
331,0,0,192,0,1025,821,3,12.47
212.6,0,121.6,169.6,7.6,1055.6,777.8,3,15.58
122.6,183.9,0,203.5,0,884.9,800.1,7,21.86
252.3,0,98.8,146.3,13.6,971.8,804.9,28,79.3
339,0,0,197,0,968,783,365,56.61
158.8,0,0,185.7,0,1111.6,784.3,28,35.76
339,0,0,197,0,968,781,365,56.14
393,0,0,192,0,940.6,785.6,90,47.03
249.1,0,98.8,158.1,12.8,987.8,889,100,50.51
318.8,212.5,0,155.7,14.3,852.1,880.4,7,44.4
284,145,0,178,8,819,789,28,79.3
250,0,0,191,0,1012,830,28,37.42
349,0,0,192,0,1047,806,28,32.05
381.4,0,0,185.7,0,1104.6,784.3,28,30.45
350,0,0,203,0,974,775,180,29.59
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,26.97
331,0,0,192,0,1025,821,90,54.1
212,0,124.8,159,3,1085.4,799.5,28,30.39
310,0,0,192,0,1012,830,90,38.5
500,0,0,200,0,1125,613,7,11.85
133,200,0,192,0,927.4,839.2,7,21.92
194.7,0,100.5,170.2,7.5,998,901.8,14,19.11
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,23.84
281,0,0,186,0,1104,774,90,43.58
252.3,0,98.8,146.3,14.2,987.8,889,56,55.5
525,0,0,189,0,1125,613,365,42.13
332.5,142.5,0,228,0,932,594,180,37.27
500,0,0,200,0,1125,613,28,33.54
349,0,0,192,6,1047,806,90,40.57
339,0,0,185,0,1069,774,7,19.99
183.9,122.6,0,185.7,0,959.2,613.2,28,20.59
397,0,0,185.7,0,1040.6,734.3,7,24.28
525,0,0,189,0,1125,613,270,54.32
202,11,141,202,1.7,942,801,28,34.57
233.8,0,94.6,197.9,4.6,947,852.2,3,4.83
500,0,0,200,3,1124,613,28,29.55
254,0,0,198,0,968,863,3,17.28
362.6,189,0,164.9,11.6,944.7,755.8,56,36.45
237.5,237.5,0,228,0,932,594,365,52.83
238.1,0,0,185.7,0,1047,739.3,28,24.34
252.5,0,0,185.7,0,1111.6,784.3,7,19.93
251.4,0,118.3,188.5,5.8,1076.2,757.7,56,66.82
233,0,0,196,3.9,801,758,28,40.93
148.5,139.9,108.6,193.8,6.1,892.4,780.6,28,37.17
382,0,0,185,0,1047,739,90,69.66
393,0,0,192,0,940,758,28,46.68
190.7,0,125.2,166.6,9.9,1090,802.6,28,27.83
332.5,142.5,0,228,0,932,594,270,33.7
540,0,0,173,0,1125,613,7,54.9
310,0,0,192,0,1012,830,28,32.96
540,0,0,170,2.5,1130,630,28,61.23
290.4,0,96.2,168.1,9.4,961.2,865,3,13.29
310,0,0,192,0,1012,830,28,32.92
153,145,0,178,8,1000,822,28,29.55
375,95,0,186.7,0,852.1,781.5,28,37.17
349,0,0,192,0,1056,809,90,32.1
200,133,0,192,0,965.4,806.2,90,32.92
186.2,124.1,0,185.7,0,1083.4,764.3,7,16.5
540,0,0,173,0,1125,613,90,56.06
305.3,203.5,0,203.5,0,965.4,631,7,33.4
225,0,0,181,0,1113,833,28,39.66
145.7,172.6,0,181.9,3.4,985.8,816.8,7,11.47
108.3,162.4,0,203.5,0,938.2,849,3,11.36
310,0,0,192,0,970,850,7,17.34
313.3,0,0,181.9,8.6,955.1,859.2,100,35.34
313.3,262.2,0,175.5,6.9,1055.6,659.9,28,55.9
500,0,0,200,0,1125,613,180,41.37
307,0,0,193,0,812,812,28,45.94
393,0,0,192,0,940.6,785.6,3,3.32
397,0,0,186,0,1047,739,28,34.29
200,133,0,192,0,965.4,806.2,7,10.39
331,0,0,192,0,1025,821,90,32.53
540,0,0,173,0,1125,613,90,35.23
275.1,0,95.7,191.8,5.3,948.9,830.8,28,39.42
214.9,54.6,121.9,162.1,9.6,1014.3,780.1,56,44.28
376,0,0,214.6,0,1003.5,762.4,3,14.64
302,0,0,203,0,974,817,90,47.03
212,0,121.6,159.5,9.9,1053.6,777.5,3,15.58
389.9,189,0,137.8,18.6,944.7,852.2,7,55.45
310,0,0,192,0,1012,830,3,3.32
277,0,0,191,0,968,856,28,18.91
252.3,0,98.8,146.3,14.2,987.8,889,14,22.35
525,0,0,186,0,1125,613,180,56.85
439,177,0,186,11.1,884.9,707.9,7,13.2
480,0,0,192,0,936,721,90,20.77
153,239,0,200,6,1002,684,28,31.88
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,29.65
157,236,0,228,0,932,670,365,67.57
374,19,141,151,10,801,758,3,21.54
382,0,0,186,0,1047,739,7,21.91
160,250,0,168,12,1049,688,28,19.69
198.6,132.4,0,192,0,978.4,825.5,90,38.46
389.9,189,0,145.9,22,944.7,755.8,56,63.14
277,116.8,91.7,175.8,3.4,946.5,665.6,28,66.42
298,0,107,186,6,879,789,28,41.68
331,0,0,192,0,1025,821,56,35.76
212.5,0,100.4,179.9,9.6,1007.2,903.6,14,32.01
350,0,0,203,0,1074,775,3,20.42
375,0,0,186,0,1038,758,365,56.34
339,0,0,197,0,968,781,28,31.88
302,0,0,203,0,974,817,3,11.98
305.3,203.5,0,203.5,0,965.4,631,28,61.23
203.5,135.7,0,185.7,0,1076.2,759.3,28,61.24
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,35.17
313,0,113,178,8,1002,689,28,60.29
376,0,0,214.6,0,1003.5,762.9,28,42.42
165,144.7,0,175.5,8.2,1005.6,746.8,100,45.08
238.2,158.8,0,185.7,0,1040.6,734.3,28,65.7
153,145,0,178,8,1002,689,28,35.1
183.9,122.6,0,203.5,0,959.2,800,90,29.73
322,0,116,180,11,904,817,28,7.51
401.8,94.7,0,147.4,10.4,946.8,696.7,28,47.97
382.5,0,0,192,0,940.6,785.6,90,59.8
255.5,132.4,0,192,0,1012.4,830,28,31.97
251.4,0,100.5,182.5,3.6,1005.8,899.8,28,64.3
359,19,141,154,5.9,942,801,28,36.45
181.4,0,167,169.6,7.6,1055.6,777.8,28,33.08
236,157,0,192,0,972.6,749.1,90,33.19
480,76,0,192,0,801,802,7,24.92
251.4,0,118.3,188.5,6.4,1040.6,754.3,28,44.39
133,200,0,192,0,927.4,839.2,90,26.31
342,20,94,157,11.6,966,867,56,65.2
236,157,0,192,0,972.6,749.1,3,14.64
491,26,78,162,12,967,699,3,13.22
446,24,79,162,11.6,967,712,3,4.83
147.8,210.2,0,203.2,3.1,828.7,709.7,28,59.76
387,20,94,157,11.6,938,845,3,24.43
480,0,0,192,0,936,721,90,79.99
277,0,0,191,0,968,856,360,33.12
540,0,0,173,0,1125,613,90,46.39
236,149,0,192,0,949.9,824,28,36.96
393,0,0,192,0,940,758,90,49.19
192,288,0,192,0,929.8,716.1,14,23.79
469,117.2,0,137.8,32.2,852.1,840.5,7,41.05
350,0,0,203,0,974,775,28,31.9
252.5,0,0,185.7,0,1111.6,784.3,28,61.89
139.6,209.4,0,192,0,1047,806.9,7,21.18
116,0,0,192,0,909.8,891.9,3,9.85
540,0,0,173,0,1125,613,14,10.22
288,0,0,192,0,932,817,3,41.3
331,0,0,192,0,1025,821,7,23.35
540,0,0,173,0,1125,613,3,33.8
310,0,0,192,0,1012,830,28,27.68
155.6,0,165.7,180.3,10.7,1023.3,728.9,28,39.06
393,0,0,192,0,940.6,785.6,90,48.67
165,0,143.6,163.8,0,1005.6,900.9,28,42.03
362.6,0,0,164.9,11.6,944.7,755.8,7,27.42
255.5,170.3,0,185.7,0,1026.6,724.3,7,15.07
540,0,0,173,0,1125,613,3,13.57
200,133,0,192,0,965.4,806.2,7,12.45
540,0,0,203,0,1125,613,3,44.86
387,20,94,157,13.9,938,845,28,26.05
252.1,0,98.8,146.1,14.3,987.8,889,100,43.8
491,26,123,201,3.9,822,699,7,41.2
198.6,0,0,192,0,978.4,825.5,7,16.88
198.6,166.8,0,192,0,978.4,825.5,365,27.34
288,192,0,192,0,929.8,717.8,90,50.7
331,0,0,192,0,1025,821,3,6.9
304,76,0,228,0,932,670,180,69.66
158.8,238.2,0,185.7,0,1040.6,734.3,28,25.37
153,0,0,200,0,1125,613,28,45.08
356,0,0,193,9,904,768,28,61.24
307,0,0,193,0,968,812,365,42.29
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,13.57
155.2,193.8,94.1,193.8,7,998,749.1,28,23.08
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,22.9
382,0,0,186,0,1047,739,28,28.63
382,0,0,185,0,1047,739,120,40.15
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,60.29
193.5,290.2,0,185.7,0,998.2,704.3,90,48.15
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,31.54
424,0,132,182,14.3,822,750,100,48.7
313.3,145,0,178.5,8,1001.9,688.7,28,44.28
339.2,0,0,192,0,935.4,781.2,7,11.98
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,18.03
213.7,0,174.7,159.9,11.7,1053.5,792.7,3,21.75
525,0,0,189,11,1120,765,28,41.67
116,173,0,192,0,909.8,891.9,90,48.15
254,0,0,198,0,968,863,28,24
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,25.42
167,75.4,167,164,7.9,1007.3,770.1,56,48.59
234,156,0,189,5.9,981,760,28,32.92
272.8,151.2,0,183.8,15.6,953.3,659.9,3,21.95
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,46.8
277,0,0,191,0,968,856,180,42.92
525,0,0,189,0,1125,613,270,50.77
297.2,137.2,106.7,192,6.4,814.1,805.5,28,42.13
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,55.94
380,95,0,228,0,932,594,28,42.64
139.6,209.4,0,192,0,1047,806.9,3,6.9
145.9,0,182,181.9,15.9,884.9,884.9,28,54.38
382.5,0,0,185.7,0,1047.8,739.3,28,71.7
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,4.57
540,0,0,173,0,1125,613,14,72.1
385,0,0,186,0,966,763,270,50.66
252,0,0,186,0,1111,784,28,36.3
236,0,0,186,0,968,781,90,31.87
500,0,0,159,0,1120,695,28,48.4
252,0,0,185,0,1111,784,28,22.5
172.4,13.6,172.4,156.8,4.1,1006.2,856.4,14,24.48
255,0,0,192,0,889.8,945,28,35.86
149,118,92,183,7,953,780,28,17.6
237.5,237.5,0,228,0,932,670,270,50.6
362.6,189,0,164.9,11.6,1044.7,755.8,3,39.32
295.7,0,95.6,170.2,9.9,1069.2,754.3,28,37.17
425,106.3,0,151.4,18.6,936,803.7,28,68.3
366,22,0,186,0,966,763,28,32.05
297,0,0,185,0,1040,734,28,31.42
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,48.99
153,145,113,176,8,1047,696,28,29.59
425,106.3,0,153.5,16.5,852.1,887.1,28,44.21
379.5,151.2,0,153.9,15.9,1134.3,605,3,17.95
469,117.2,0,137.8,32.2,852.1,840.5,91,61.89
425,106.3,0,151.4,18.6,936,803.7,7,54.9
331,0,0,192,0,1025,821,3,9.74
350,0,0,203,0,974,775,90,31.27
255,0,0,192,0,889.8,945,90,32.85
331,0,0,192,0,1025,821,90,38.11
382.5,0,0,185.7,0,1111.6,784.3,7,28.63
331,0,0,192,0,1025,821,180,66.1
167,75.4,167,164,7.9,1007.3,770.1,28,27.42
381.4,0,0,185.7,0,1047.8,744.3,28,61.07
350,0,0,203,0,1069,674,28,29.65
190.7,0,125.4,162.1,7.8,1090,804,14,27.68
323.7,282.8,0,183.8,10.3,942.7,659.9,28,59.59
321,0,125,195,8.5,870,769,28,21.18
385,0,0,186,0,966,763,365,41.54
251.8,0,118.3,168.1,5.8,1006,793.5,3,17.24
148,0,0,178,11,1002,830,28,22.14
349,0,0,192,0,1056,809,180,25.56
249.1,0,98.8,158.1,12.8,987.8,889,14,21.5
200,0,0,192,0,965.4,839.2,3,13.36
397,0,0,185.7,0,1040.6,734.3,7,7.4
520,0,0,175,5.2,870,805,28,65.2
469,117.2,0,137.8,32.2,852.1,840.5,56,68.3
380,0,0,228,0,932,670,7,23.4
397,0,0,185.7,0,1040.6,734.3,28,42.42
239.6,359.4,0,193.5,0,932,754.3,3,21.07
295,0,0,185,0,1069,769,7,15.42
203.5,305.3,0,203.5,0,963.4,630,7,19.42
102,153,0,192,0,887,942,90,33.76
331,0,0,192,0,1025,821,28,67.8
266,38,0,228,0,932,670,365,44.7
136.4,162.6,125.8,171.6,10.4,923.2,764.4,28,41.68
349,0,0,192,0,1047,806,90,32.72
480,137.2,0,192,0,870.1,709.5,3,16.26
250,0,95.7,187.4,5.5,956.9,861.2,14,24.24
355,20,86,145,11,967,871,28,49.97
380,95,0,228,0,1025,594,7,26.86
157,236,0,192,0,935.4,781.2,3,4.9
251.4,0,0,195.2,5.8,1026.6,757.6,3,13.12
397,0,0,185.7,0,1040.6,734.3,7,12.18
173,116,0,192,0,946.8,856.8,7,17.34
250.2,166.8,0,203.5,0,977.6,694.1,90,44.09
178,0,118.6,179.9,3.6,1007.3,746.8,3,25.12
252,99,95,189,8,835,821,3,35.3
166.1,0,128.5,195,12,1023,790,28,21.29
376,0,0,214.6,0,1003.5,762.4,7,24.13
382.5,0,0,185.7,0,1047,739.3,28,30.39
116,0,0,192,0,909.8,891.9,28,19.99
491,26,123,210,3.9,882,699,28,58.8
500,0,0,140,5.7,966,853,28,52.3
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,40.71
135.7,203.5,0,185.7,0,1086.8,759.3,28,21.82
238.1,0,94.6,197.9,4.6,949.9,847,14,28.94
540,0,0,173.2,0,965.4,613.2,7,15.61
236,157,0,192,0,972.6,749.1,7,10.73
379.5,151.2,0,153.9,15.9,1134.3,605,7,30.96
